"topicName","wiki","event","resource"
"Loyola College","https://www.wikidata.org/wiki/Q6694542","http://focu.io/data#COMP_474_6741_lecture7","http://focu.io/data#COMP_474_6741_lecture7_slides07"
"SOAP","https://www.wikidata.org/wiki/Q189620","http://focu.io/data#COMP_474_6741_lecture4","http://focu.io/data#COMP_474_6741_lecture4_slides04"
"BSD License","https://www.wikidata.org/wiki/Q191307","http://focu.io/data#COMP_474_6741_lecture6","http://focu.io/data#COMP_474_6741_lecture6_slides06"
"The Glass Palace","https://www.wikidata.org/wiki/Q3225164","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"University","https://www.wikidata.org/wiki/Q3918","http://focu.io/data#COMP_474_6741_lecture8","http://focu.io/data#COMP_474_6741_lecture8_worksheet07"
"GATE","https://www.wikidata.org/wiki/Q3521595","http://focu.io/data#COMP_474_6741_lecture8","http://focu.io/data#COMP_474_6741_lecture8_worksheet07"
"Google","https://www.wikidata.org/wiki/Q9366","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"EDA","https://www.wikidata.org/wiki/Q1194864","http://focu.io/data#COMP_474_6741_lecture6","http://focu.io/data#COMP_474_6741_lecture6_slides06"
"Enron","https://www.wikidata.org/wiki/Q327646","http://focu.io/data#COMP_474_6741_lecture6","http://focu.io/data#COMP_474_6741_lecture6_slides06"
"AVG","https://www.wikidata.org/wiki/Q896547","http://focu.io/data#COMP_474_6741_lecture4","http://focu.io/data#COMP_474_6741_lecture4_slides04"
"Alexa","https://www.wikidata.org/wiki/Q3814475","http://focu.io/data#COMP_474_6741_lecture1","http://focu.io/data#COMP_474_6741_lecture1_slides01"
"Currencies","https://www.wikidata.org/wiki/Q8142","http://focu.io/data#COMP_474_6741_lecture4","http://focu.io/data#COMP_474_6741_lecture4_slides04"
"vvv","https://www.wikidata.org/wiki/Q24689","http://focu.io/data#COMP_474_6741_lecture3","http://focu.io/data#COMP_474_6741_lecture3_slides03"
"Roman Catholic Church","https://www.wikidata.org/wiki/Q9592","http://focu.io/data#COMP_474_6741_lecture8","http://focu.io/data#COMP_474_6741_lecture8_slides08"
"Compute","https://www.wikidata.org/wiki/Q4036474","http://focu.io/data#COMP_474_6741_lecture6","http://focu.io/data#COMP_474_6741_lecture6_slides06"
"Schemas","https://www.wikidata.org/wiki/Q1051200","http://focu.io/data#COMP_474_6741_lecture3","http://focu.io/data#COMP_474_6741_lecture3_slides03"
"POST","https://www.wikidata.org/wiki/Q2764521","http://focu.io/data#COMP_474_6741_lecture4","http://focu.io/data#COMP_474_6741_lecture4_slides04"
"SHRDLU","https://www.wikidata.org/wiki/Q1778029","http://focu.io/data#COMP_474_6741_lecture2","http://focu.io/data#COMP_474_6741_lecture2_slides02"
"Brill","https://www.wikidata.org/wiki/Q462663","http://focu.io/data#COMP_474_6741_lecture8","http://focu.io/data#COMP_474_6741_lecture8_slides08"
"Stopword","https://www.wikidata.org/wiki/Q80735","http://focu.io/data#COMP_474_6741_lecture7","http://focu.io/data#COMP_474_6741_lecture7_slides07"
"NB","https://www.wikidata.org/wiki/Q222751","http://focu.io/data#COMP_474_6741_lecture6","http://focu.io/data#COMP_474_6741_lecture6_slides06"
"Token","https://www.wikidata.org/wiki/Q172841","http://focu.io/data#COMP_474_6741_lecture8","http://focu.io/data#COMP_474_6741_lecture8_slides08"
"Server","https://www.wikidata.org/wiki/Q11288","http://focu.io/data#COMP_474_6741_lecture4","http://focu.io/data#COMP_474_6741_lecture4_slides04"
"Google Search","https://www.wikidata.org/wiki/Q9366","http://focu.io/data#COMP_474_6741_lecture1","http://focu.io/data#COMP_474_6741_lecture1_slides01"
"FFF","https://www.wikidata.org/wiki/Q244750","http://focu.io/data#COMP_474_6741_lecture6","http://focu.io/data#COMP_474_6741_lecture6_worksheet05"
